source_id,label,frame_number,left_torso_hip_angle,right_torso_hip_angle,left_shoulder_arm_angle,right_shoulder_arm_angle,neck_tilt_angle,feet_distance_normalized,ear_shoulder_lateral_delta,plumb_line_alignment
arms_not_dropped_1.mp4,arms_not_dropped,8,171.62310727784185,142.05947434671623,76.17336448908134,75.22376435044893,153.66011816907854,1.4537852286975885,0.7650440825913709,0.6527805937839076
arms_not_dropped_1.mp4,arms_not_dropped,16,157.58901786764366,175.77987789129602,71.49335125128597,71.65285135892921,149.69093515346066,1.0289586324802458,0.7505707145376832,0.6718029504592566
arms_not_dropped_1.mp4,arms_not_dropped,24,157.86155529689987,173.76548226011883,72.14773615525512,70.30228380653543,149.2494554626831,0.8562777958549741,0.49962451315843626,0.698458526069122
arms_not_dropped_1.mp4,arms_not_dropped,32,161.4164145054592,164.77127138433934,75.02772391705882,74.77094839821463,150.81122325543143,0.5017048764877936,0.3178360552869698,0.6875575300870674
arms_not_dropped_1.mp4,arms_not_dropped,40,155.04821912654478,168.45104514284412,73.91151073712165,74.35977767760245,149.8324712902744,0.5851481838864767,0.32434576258506775,0.653126934822209
arms_not_dropped_1.mp4,arms_not_dropped,48,159.22811304908726,174.1508012066614,72.46617240356461,74.09896642872573,150.3703839530797,0.7668306054014363,0.7520972701598777,0.6388163018711042
arms_not_dropped_1.mp4,arms_not_dropped,56,162.82729508386714,159.45173703350812,73.0243782478966,75.27517539518514,150.54109160609963,0.4825787410520914,0.31108642189055347,0.648751336384365
arms_not_dropped_1.mp4,arms_not_dropped,64,155.9747695546763,168.7665904140867,73.86515511007023,74.15678381828732,150.38356016508402,0.7290926483396213,0.3762366661807184,0.6814416238150894
arms_not_dropped_1.mp4,arms_not_dropped,72,156.3906833219157,171.77875717472565,73.25741052885375,73.80168229070557,149.95985766144713,0.7641138483761539,0.1924354129690448,0.6897170271788248
arms_not_dropped_1.mp4,arms_not_dropped,80,168.03996765990422,169.7029094232975,71.72604928263618,72.7810400497801,148.48350744772327,0.4584616455219158,0.10642196350037987,0.6302300854630455
arms_not_dropped_1.mp4,arms_not_dropped,88,153.87763831153222,171.94904976090717,71.57454282698873,71.68132445428861,147.99998328548472,0.8799154165305375,1.3593496042042863,0.6697892405382513
arms_not_dropped_1.mp4,arms_not_dropped,96,158.75058202698906,166.066796437089,71.200469582748,77.35319114165021,153.24958349522313,0.5200344527717803,1.2333492577030798,0.7139978421793846
arms_not_dropped_1.mp4,arms_not_dropped,104,161.22171154459807,168.51705104121058,66.82977098281307,73.77437233498195,151.37451073991667,0.4487085692281732,0.7246707803907677,0.6347830620500724
arms_not_dropped_1.mp4,arms_not_dropped,112,157.98576493660872,170.8166401572467,66.60942517247766,74.01080979105366,149.58525517999007,0.700112426235654,0.3759121212002473,0.6859751157622805
arms_not_dropped_1.mp4,arms_not_dropped,120,169.1595788200889,175.34816054342141,79.28616969000575,75.79756507906437,148.20808312339616,0.4371711170215345,0.10987340465187057,0.6912285443315844
arms_not_dropped_1.mp4,arms_not_dropped,128,166.47813834460882,172.51126084161757,89.87209813673456,76.5578219951066,149.88040250144422,0.8124216936012857,0.14393431259257267,0.6553134009887994
arms_not_dropped_1.mp4,arms_not_dropped,136,168.30886680983883,169.5241328633587,81.98436211486356,75.92907306011774,149.07437448810288,0.4611359166005653,0.5917644029075955,0.6091981945485746
